,LAC,Moto
0,Williams_College,"""Through the Generosity of E. Williams, Esquire""[1]"
1,Amherst_College,Let them enlighten the lands[1]
2,Swarthmore_College,Mind the Light[1][2]
3,Wellesley_College,"Not to be ministered unto, but to minister"
4,Bowdoin_College,As an eagle towards the sky
5,Carleton_College,The Revelation / Announcement of Your Words Illuminates
6,Middlebury_College,Knowledge and Virtue
7,Pomona_College, 
8,Claremont_McKenna_College,Civilization prospers with commerce[1]
9,Davidson_College,Let Learning Be Cherished Where Liberty Has Arisen
10,Grinnell_College,Truth and Humanity
11,Haverford_College, 
12,Smith_College, 
13,Vassar_College, 
14,Washington_and_Lee_University,"""Not Unmindful of the Future"""
15,Colgate_University,For God and for Truth
16,Hamilton_College,Know Thyself
17,Colby_College,Knowledge [is] the Light of the Mind
18,Harvey_Mudd_College, 
19,United_States_Military_Academy,Duty • Honor • Country[1]
20,Wesleyan_University, 
21,Bates_College,With Ardor and Devotion by Charles Sumner
22,Soka_University_of_America,".mw-parser-output .refbegin{font-size:90%;margin-bottom:0.5em}.mw-parser-output .refbegin-hanging-indents>ul{list-style-type:none;margin-left:0}.mw-parser-output .refbegin-hanging-indents>ul>li,.mw-parser-output .refbegin-hanging-indents>dl>dd{margin-left:0;padding-left:3.2em;text-indent:-3.2em;list-style:none}.mw-parser-output .refbegin-100{font-size:100%}
Be philosophers of a renaissance of life;Be world citizens in solidarity for peace;Be the pioneers of a global civilization.

"
23,United_States_Naval_Academy,"From Knowledge, Seapower"
24,Barnard_College,Following the Way of Reason
25,University_of_Richmond,Word of life and the light of knowledge [1]
26,Bryn_Mawr_College,I Delight in the Truth
27,Colorado_College,Scientia et Disciplina (Latin)
28,Macalester_College,Nature and Revelation are twin sisters of heaven
29,Kenyon_College,Valiantly bear the cross
30,Mount_Holyoke_College,"That our daughters may be as corner stones, polished after the similitude of a palace — Psalms 144:12"
31,Oberlin_College,Learning and Labor
32,Scripps_College, 
33,United_States_Air_Force_Academy,"Integrity First, Service Before Self, Excellence in All We Do"
34,College_of_the_Holy_Cross,In this sign you shall conquer
35,Bucknell_University, 
36,Franklin_and_Marshall_College, 
37,Lafayette_College,The truth shall set you free.[1]
38,Occidental_College,The West is nearest the East
39,Union_College,"Under the laws of Minerva, we all become brothers and sisters"
40,Pitzer_College, 
41,Skidmore_College,"Scuto amoris divini (Latin for Under the shield of divine love) - a play on the name of Skidmore (scuto amoris sounds like ""Skidmore"").[1]"
42,Denison_University, 
43,Thomas_Aquinas_College,Verum • Bonum • Pulchrum (The True • The Good • The Beautiful)
44,Whitman_College,Through adversities I rise
45,Centre_College,Learning is the Light of the Mind
46,Connecticut_College,"""Like a tree planted by rivers of water"" (that bringeth forth its fruit in its season. – Psalm 1:3)"
47,Trinity_College,For Church and Country
48,Gettysburg_College,Do Great Work
